title;url;price;price_drop;image_url;category;gender
Ann Demeulemeester;https://www.matchesfashion.com/products/Ann-Demeulemeester-Nes-leather-knee-high-boots-1553488;1,400;;assetsprx.matchesfashion.com/img/1553488/1/285.jpg;Boots;women
Valentino Garavani;https://www.matchesfashion.com/products/Valentino-Garavani-One-Stud-30-faux-leather-knee-high-boots-1541126;1,680;;assetsprx.matchesfashion.com/img/1541126/1/285.jpg;Boots;women
Burberry;https://www.matchesfashion.com/products/Burberry-Saddle-buckled-leather-knee-high-boots-1552533;1,690;;assetsprx.matchesfashion.com/img/1552533/1/285.jpg;Boots;women
Ann Demeulemeester;https://www.matchesfashion.com/products/Ann-Demeulemeester-Jay-50-detachable-cuff-leather-boots-1553487;1,575;;assetsprx.matchesfashion.com/img/1553487/1/285.jpg;Boots;women
Valentino Garavani;https://www.matchesfashion.com/products/Valentino-Garavani-Rockstud-leather-flatform-Chelsea-boots-1541119;1,280;;assetsprx.matchesfashion.com/img/1541119/1/285.jpg;Boots;women
Valentino Garavani;https://www.matchesfashion.com/products/Valentino-Garavani-Roman-Stud-shearling-and-leather-boots%09-1541102;1,480;;assetsprx.matchesfashion.com/img/1541102/1/285.jpg;Boots;women
Valentino Garavani;https://www.matchesfashion.com/products/Valentino-Garavani-V-logo-jacquard-and-leather-boots--1541132;1,250;;assetsprx.matchesfashion.com/img/1541132/1/285.jpg;Boots;women
Valentino Garavani;https://www.matchesfashion.com/products/Valentino-Garavani-Roman-Stud-leather-flat-boots-1541103;1,380;;assetsprx.matchesfashion.com/img/1541103/1/285.jpg;Boots;women
Brunello Cucinelli;https://www.matchesfashion.com/products/Brunello-Cucinelli-Leather-point-toe-ankle-boots-1538325;1,190;;;Boots;women
Toteme;https://www.matchesfashion.com/products/Toteme-The-Mid-Heel-60-leather-ankle-boots-1494974;620;;;Boots;women
Aquazzura;https://www.matchesfashion.com/products/Aquazzura-Matignon-75-leather-ankle-boots-1498564;818;;;Boots;women
Toteme;https://www.matchesfashion.com/products/Toteme-Kitten-heel-suede-ankle-boots-1450559;620;;;Boots;women
Marsèll;https://www.matchesfashion.com/products/Mars%C3%A8ll-Fondello-45-leather-knee-high-boots-1538623;1,518;;;Boots;women
Acne Studios;https://www.matchesfashion.com/products/Acne-Studios-Balius-buckled-crinkled-leather-knee-high-boots-1545442;1,050;;;Boots;women
Aeyde;https://www.matchesfashion.com/products/Aeyde-Henry-smooth-leather-knee-high-boots--1547238;675;;;Boots;women
Marsèll;https://www.matchesfashion.com/products/Mars%C3%A8ll-Fondello-45-leather-knee-high-boots-1538618;1,518;;;Boots;women
Khaite;https://www.matchesfashion.com/products/Khaite-Dallas-45-suede-knee-high-boots-1539871;1,140;;;Boots;women
Khaite;https://www.matchesfashion.com/products/Khaite-Marfa-25-leather-knee-high-boots-1539865;1,190;;;Boots;women
Khaite;https://www.matchesfashion.com/products/Khaite-Dallas-45-leather-knee-high-boots-1539873;1,140;;;Boots;women
Khaite;https://www.matchesfashion.com/products/Khaite-Marfa-square-toe-leather-boots-1551492;1,520;;;Boots;women
Acne Studios;https://www.matchesfashion.com/products/Acne-Studios-Bexen-calf-hair-ankle-boots-1545440;850;;;Boots;women
Jacquemus;https://www.matchesfashion.com/products/Jacquemus-Round-and-square-contrast-toe-leather-boots-1543205;760;;;Boots;women
LOEWE;https://www.matchesfashion.com/products/LOEWE-Toy-90-leather-ankle-boots-1537046;1,650;;;Boots;women
